,0
2570,"​​Бизнес нельзя кошмарить. 

У бизнеса нужно в любой ситуации спрашивать «Что делать?». 

Благодаря бизнесу, который платит налоги, создает рабочие места и инновации, — мы существуем и развиваемся. 

Чем меньше государства в экономике, тем лучше. Идеально, чтобы вообще не было. 

Любое государство должно стремиться создать лучшие условия в мире для развития бизнеса. 

Я не руковожу министерством экономики и комитетом в Верховной Раде. Поэтому мы делаем то, за что можем зацепиться в плане развития предпринимательства в стране. Например, для IT-бизнеса разработали концепт легализации налоговой системы с 5%, которая сильно простимулирует развитие продуктовых компаний (Дия Сити). Уверен, что парламент примет закон. Но сегодня пост не об этом. 

Помимо лучшей налоговой системы в Мире и «не мешать», я вижу, что государство должно популяризировать предпринимательство и помогать начинающим. 

В нашей стране есть несколько тысяч госуслуг. Большая часть которых бесполезная. И мы их со временем трансформируем. 

Есть госуслуга по «консультированию по получению льгот на коммунальные». И она в ТОП-10 по популярности! 

Почему бы не сделать услугу по консультированию касательно открытия и ведения бизнеса? Выбор идеи, бизнес-модели, маркетинг, трафик, налоги, финансы, психологическая помощь при первой «яме» и т.д. Государственная услуга для начинающих предпринимателей! 

Можно много спорить о том качестве услуг, которое может предоставлять государство в этом плане. Но мы ведь министерство цифровой трансформации и строим рядом с этим монстром понятную и эффективную систему... 

Можно долго размышлять, но мы уже открыли в Харькове первый центр поддержки предпринимателей и сейчас обкатываем модель проекта. Там можно получить бесплатную консультацию по любому вопросу, который может возникнуть у начинающего предпринимателя. Если наш подход сработает — такие центры будут по всей стране и очень плотно. Ладно, по секрету — до конца года их будет ещё 5-7. 

Как всегда, государственного бюджета на эту идею и реализацию было потрачено ноль. 

Важно. 
Бесплатные консультации доступны на сайте. Не важно, где вы живете, регистрируйтесь и получайте их, если вы начинающий предприниматель. Практически по любому вопросу. Есть первичная, которая по сути подскажет, что для вас более актуально. Мне нравится, например, и будет полезна тем, кто хочет продавать товары на весь мир: «Как открыть интернет-магазин на платформе Etsy”. 

А если вы уже опытный, поделитесь информацией с начинающим. 

Фидбек можете мне написать в личку. На сайте его тоже собирают и он там сейчас на уровне 90%. 

Ссылка на сайт. 

Пожалуйста, делайте бизнес сейчас, не смотря ни на что. Все будет гуд!"
2571,"​​Рівно рік тому я став міністром.

Доля розпорядилася так, що молодших від мене міністрів в Україні не було ніколи. Це накладає додаткову відповідальність перед молоддю. Важливо посилити тренд молодих, а не прийти до «понабирали незрозуміло кого». Не підвести очікування, зробити результат, будувати інститути, а не хайпувати, привносити нове, перемагати у своїй сфері на світовій арені, а не копіювати, прокладати шлях для молодих, а не знецінювати ідею нових облич.

Вчора в Кабміні співробітник секретаріату жартував, що команду нашого міністерства легко впізнати, ми постійно ходимо без костюмів, а ще у нас є хлопці із «забитими рукавами» (так, Слава?).

Я хотів написати пост про результати, про фундамент, який ми заклали, про мільйони «клієнтів», про поразки і плани, про те, як ми стали державою номер один за темпами розвитку цифрового уряду. Але це і так часто тут звучить.
Я впевнений, що молодих людей зі свіжим поглядом і енергією має бути більше в українській політиці.
Хочу поділитися деякими висновками, думками, які можуть бути корисними для молоді, доя тих, хто думає про політику, роботу в державних органах. Всі вони випробувані на власній шкурі:

 1. Перш ніж займатися публічною політикою, попрацюйте у виконавчій владі. Бажано в органі, який реалізує політику. Навчіться починати і доводити до результату реальні проєкти. Досвід у бізнесі, який ви збудували з нуля в останні 5-10 років, — теж вітається. Суспільство втомилося від пі ### болів, потрібні ті, хто вміє робити.
 2. Розвивайтеся як менеджер: як будувати організаційні структури, управляти людьми, приймати рішення. Це сильно пов'язано з пунктом першим.
 3. Вчіться будувати стосунки. Він-він. Без подвійного дна. Термін придатності інтриганів скоро закінчиться.
 4. Постійно вчіться. Важливо розуміти фізику будь-якого процесу, яким ви керуєте. Стелі не повинно бути взагалі.
 5. Моя улюблена цитата належить Володимиру Костянтиновичу Тарасову: «Спершу ти вибираєш шлях, потім шлях вибирає тебе». Розвивайте в собі візіонерство (кажуть, це неможливо зробити — не вірте цьому). Якщо не буде потужної візії — ми ніколи не зробимо ривок у розвитку як країна.

Дякую кожному за підтримку і відкриті можливості.
А головне — моїй родині. Тільки ви знаєте, як все це дається мені і моїй команді.

Мчимо далі."
2572,"​​ТОП-10 нових послуг, які ми запустимо у жовтні. До речі, готуємо дуже змістовну та цікаву презентацію.  

Портал Дія

1. Оновлена реєстрація ТОВ онлайн. Нагадаю, що раніше ми запустили послуги з відкриття/закриття/зміни ФОП. І вже скористалися послугами більше 100 000 українців. 
 2. Можливість почати та завершити будівництво онлайн, що належать до категорії СС1 (кафе, приватні будинки, малі споруди) — понад 90% всього будівництва. У липні запустили новий будівельний реєстр і вже ним скористалися понад 18 тис. замовників будівництва, зокрема позитивно зареєстровано СС1 — 16 950, СС2 — 1 050, СС3 — 337 документів.
3. єМалятко онлайн. З 1 січня ця послуга вже поступово стає доступною для українців у пологовому чи ЦНАП, і скористалися послугою понад 20 тисяч родин. Ми працюємо над тим, щоб цю послугу можна було отримати повністю онлайн. Аудиторія близько 380 тис. громадян.

Додаток Дія 

 1. Цифровий шерінг документів. Це цифрова революція для держави. Ви зможете передавати копії документів (паспорт, ІПН, свідоцтво про народження) натиснувши «ОК» на пуш повідомлення в Дії. Наприклад, коли банк вимагає паспорт для зняття копії відкриття рахунку онлайн, під час заселення в готель та в сотнях інших життєвих ситуацій. 
 2. Керування належним користувачем. Можливість розшарити технічний паспорт на авто іншій людині, і він відобразиться в Діі. Наприклад, ваша дружина зможе їздити на вашому автомобілі без фізичного технічного паспорта. Він буде у неї в додатку. 
 3. Отримання та сплата штрафів в Дії. Буде навіть надто зручно!) 
 4. Отримання інформації та сплата боргів. Аудиторія послуги 4,6 млн українців українців.
 5. Цифровий ІПН (податковий номер). Тепер цей папірець не буде потрібний. А за допомогою цифрового шерінгу документа його «копію» можна буде передавати державним органам та бізнесу за секунду.
6. Цифрове свідоцтво про народження — фактично паспорт для дитини для 14 років також з’явиться в Дії. Цільова аудиторія — батьки 7 млн дітей. Використовується для поїздок, банків, нотаріусів, медичних та освітніх послуг та інших. 
7. Статус внутрішньо переміщеної особи. Ще один документ, який, на жаль, існує через війну на сході країни. Ми також зробимо його цифровим для понад 1,5 млн громадян.

І мені здається, це 3% від того, що в роботі. 
Реєстр народонаселення, реформа Держспецзвязку, розвиток Diia Company, впровадження CDTO по всій країні, розвиток послуг в ЦНАП, Дія Освіта, потужний проєкт Дія Бізнес та інші. Дуже багато новин, ідей, питань. Як встигати цим ділитися — не знаю. Буду намагатися!)"
2573,"Починаємо тестування будівельних послуг на порталі Дія і я запрошую кожного стати бета-тестувальником.

Будемо тестувати будівництва класу СС1, а саме:
🔸 Повідомлення про початок підготовчих робіт
🔸 Повідомлення про початок будівельних робіт по CC1 
🔸 Повідомлення про початок будівельних робіт на підставі будпаспорта.

Працюємо над автоматизацією всіх процесів державного регулювання у будівництві для подолання корупції в галузі.

Тестувальником може стати кожен охочий, а також суб'єкти господарювання, які перебувають на стадії підготовки й початку будівництва для об'єктів класу наслідків СС1. 

Заповнюйте заяву в чатботі — https://t.me/EDESSB_bot
Для тестування необхідно мати кваліфікований електронний підпис (КЕП). 
Заявки приймаємо до 1 вересня 2020 року."
2574,"​​Запустили Гід з державних послуг — єдиний ресурс з переліком усіх наявних послуг в Україні: https://guide.diia.gov.ua.

Відтепер вся інформація стосовно державних послуг в Україні доступна простою мовою на одному порталі. Українцям більше не потрібно витрачати купу часу та енергії на її пошук. 

Наразі Гід містить дані щодо 1000 послуг, що розподілені за 17 категоріями сфер діяльності та упорядковані за 36 життєвими подіями. Якщо ви плануєте відкрити бізнес, змінити місце проживання, народити дитину, купити авто або займатися інвестуванням — всю інформацію про місце, спосіб, строки, вартість, результати отримання послуг знайдете саме на порталі."
2575,"​​6,5 млн разів українці зверталися за адмінпослугами у 2020 році. Статистика свідчить про попит зробити сервіси ще більш зручними та доступними.

Починаємо з офлайну — ми збільшили кількість точок доступу, де їх можна отримати, до 1221. В онлайні плануємо запуск Платформи Центрів Дії. Новий інструмент для роботи ЦНАП об’єднає інтерактивну карту та графік центрів, навчальні курси, електронні кабінети адміністраторів та інші корисні матеріали.

Вже більше половини ЦНАП працюють при органах місцевого самоврядування. Трансформація ЦНАП при районних держадміністраціях на центри при ОМС дозволить уникнути дублювання послуг там, де вони працюють одночасно + оптимізуємо використання публічних ресурсів.

2,9 млн адмінпослуг надано у II кварталі. Відкрито 170 нових точок доступу (123 — при органах місцевого самоврядування). Серед них — 15 нових ЦНАП (9 територіальних підрозділів та 5 мобільних) + 141 віддалене робоче місце.

Івано-Франківська (79), Дніпропетровська (78) та Запорізька області (72) — лідери точок доступу до послуг. 617 ЦНАП забезпечені електронним  документообігом та інформаційними системами. Які сервіси користуються попитом? Детальна статистика — на графіку."
2576,"​​Запорізька область для мене рідна. Я народився в невеличкому місті Василівка, навчався в Запорізькому виші. Тут я зустрів свою майбутню дружину, саме в Запоріжжі народилися наша прекрасна донька.

Так, як сьогодні будується регіон, не пам’ятаю. Міст, який не могли добудувати десятки років, дороги на Азовське море, новий аеропорт, ЦНАПи, школи, садки, приймальні відділення, стадіони. Звичайно, хочеться ще більше, але це тільки початок. 

Сьогодні є всі можливості зробити стрибок для розвитку регіону. Підтримка всіх гілок влади, а найголовніше — люди, які приєднуються до команди. 

Моя місія — відкрити можливості, об’єднати. 

Сьогодні зроблений перший крок. Презентована стратегія розвитку регіону, команда. І це тільки початок. 

На місці є ефективний очільник ОДА, команда народних депутатів, скоро буде перезавантаження місцевої влади. І дуже сподіваюся, що люди не зміняться в гірший бік. 

Користуйтеся можливістю, працюйте 24/7 і все буде добре."
2577,"​​+6 станцій київського метро підключені до 4G відсьогодні:
— Університет
— Театральна
— Контрактова площа 
— Поштова площа
— Майдан Незалежності
— Золоті Ворота

Тепер 15 станцій із 46 підтримують мобільний зв’язок четвертого покоління. До кінця серпня мобільні оператори Київстар, Vodafone Україна та lifecell разом з Huawei запустять 4G ще на 7 станціях: Хрещатик, Площа Льва Толстого, Олімпійська, Палац Україна, Палац спорту, Кловська, Печерська. 

Більше 50 терабайтів мобільного інтернету використано із запуску 4G на станції Академмістечко в березні.
До речі, цей обсяг трафіку дорівнює 7 рокам безперервного перегляду відео у HD-якості.

Мережу 4G буде розширено на всі станції до кінця року, а кияни нарешті отримають якісний мобільний інтернет будь-де в підземці."
2578,"​📡 Держспецзв’язку оптимізує свою структуру, позбудеться невластивих їй функцій та посилить кіберзахист об’єктів критичної інфраструктури.

Мінцифри разом з Держспецзв’язку запропонують Уряду концепції реформування Державної служби спеціального зв’язку та захисту інформації України, органів, закладів, підприємств та установ, що входять до сфери управління. Найголовніше — прибрати невластиві та дублюючі функції служби. Окрім цього, служба  супроводжуватиме цифрову трансформацію держави.

⚒ Запропоновані пропозиції забезпечать механізм кіберзахисту органів державної влади, інформаційно-телекомунікаційні системи, що перебувають у їх власності або адмініструванні. Додатково Держспецзв’язку координуватиме забезпечення кібербезпеки.

Деталі 👉 https://bit.ly/2E62dI6"
2579,"Компанія Retail Group приймає Дію. Мережа гіпермаркетів Велмарт, Велика Кишеня, «ВК Експрес», «ВК SELECT» та боулінгів Турбіна — наш новий крупний партнер. 4,5 млн користувачів застосунку зможуть показати Дію на касі улюбленого магазину. 

Підтримка ритейлерів зростає, а ми продовжуємо розширювати можливості цифрових документів."
2580,"Уже шосту добу поспіль Білорусь переживає одну з найглибших політичних криз за свою історію. У зоні ризику опинилась найбільш прогресивна сфера бізнесу країни - IT-сектор, який кілька років поспіль активно розвивався та забезпечував до 10% ВВП країни. 

Нещодавні серйозні обмеження з доступом до мережі Інтернет, мобільним зв'язком та систематичні перебої в роботі банківської системи змушують ІТ-компанії Білорусі шукати можливості для переїзду в інші країни. Це вимушений для них захід, щоб зберегти свій бізнес, своїх клієнтів та надалі виконувати зобов'язання за чинними угодами. 

Разом з українським ІТ-бізнесом Міністерство цифрової трансформації готове створити всі необхідні умови для комфортного переїзду ІТ-компаній та фахівців до України. Українська ІТ-компанія може запросити до себе на роботу такого іноземця. З-поміж документів він надає компанії лише копії свого паспорта із завіреним перекладом та кольорове фото 3,5х4,5. Потім компанія звертається із заявою до Центру зайнятості, до якої додає копії паспорта іноземця, фото та проєкт трудової угоди з ним. Протягом 5-7 днів Центр зайнятості видає такий дозвіл. Все. Іноземець може легально проживати та працювати в Україні. Цим механізмом може скористатися будь-який іноземний спеціаліст незалежно від його рівня кваліфікації.

Крім того, за підтримки Уряду ми також забезпечили можливість іммігрувати до України 5000 висококваліфікованих ІТ-спеціалістів. Вони можуть отримати посвідку на постійне проживання та роботу в Україні впродовж 10 років.

Імміграція в рамках квот дозволяє іноземним ІТ-спеціалістам працевлаштуватися на тих самих умовах, що й громадяни України. Не прив’язуватися до конкретних термінів перебування в нашій країні та до конкретного місця роботи чи посади. Також вони можуть стати приватними підприємцями та імігрувати до України разом зі своїми родинами.

Хочу нагадати, що в нашій країні зареєструвати ФОП, внести зміни чи закрити підприємницьку діяльність можна повністю онлайн. В Україні - одна з найшвидших і найпростіших процедур реєстрації підприємця. Для заповнення форми необхідно лише кілька хвилин і не потрібно мати спеціальні знання. Повідомлення про реєстрацію з’явиться у кабінеті і буде надіслане електронною поштою. 

5000 квот розподілені по областях України, в яких зосереджена найбільша кількість IT-компаній. Дніпропетровська, Одеська та Львівська області можуть залучити по 600 іноземних фахівців, Харківська – 700, а місто Київ отримало 2 500 квот.

Аби скористатися квотами, іноземні спеціалісти, що вже мешкають в Україні, мають подати свої документи у територіальний підрозділ Державної міграційної служби за місцем своєї реєстрації. А фахівці, що перебувають за межами нашої країни, – у консульські установи України за кордоном. Як оформити дозвіл українською та англійською мовами, можна прочитати на сайті Міністерства цифрової трансформації: https://bit.ly/3iATsV6.

Ми готові у режимі 24/7 надавати сприяння та консультаційну підтримку іноземним ІТ-спеціалістам, які бажають локалізуватися в Україні. Для отримання консультації вони можуть звернутися за номером +380 50 516 64 35.

Сподіваюся, що запропоновані нами можливості дозволять ІТ-компаніям Білорусі вистояти в умовах кризи, щоб потім повернутися на батьківщину економічно сильними і готовими підтримати свою країну.

Я солідарний з технологічним бізнесом Білорусі, який звернувся до влади з відкритим листом. Солідарний у тому, що стартапи не народжуються в атмосфері страху і насильства. Бізнес народжується, росте і процвітає в атмосфері свободи і відкритості.

Хай живє Бєларусь!"
2581,"Зробили те, що не робив ще жоден державний орган, — домовились із компанією Ookla та отримали дані від найпопулярнішого у світі спідтесту інтернету  www.speedtest.net 

Це сотні мільйонів вимірів, що робили українські користувачі протягом останніх двох років.
Саме така інформація є найбільш неупередженою і демонструє реальну швидкість інтернет-з’єднань, адже вона надходить безпосередньо від користувачів.

З кожного виміру матимемо інформацію про технологію, швидкість, якість з’єднання, який саме провайдер чи оператор і в якій локації надає послугу.

Після ретельного аналізу цих даних ми зможемо уточнити інформацію власних досліджень щодо покриття фіксованим та мобільним інтернетом, перевірити офіційну статистику від операторів, порівняти якість надання послуг від різних компаній.

Окрім того, дані від Ookla допоможуть нам виявити “білі плями” у покритті як мобільним, так і фіксованим інтернетом і надалі ефективніше формувати політику щодо розвитку якісного інтернету в Україні."
2582,"​​Працюємо над цифровізацією регіонів. Ефективна трансформація країни неможлива без підтримки областей та міст.

Щоб вивести розвиток регіонів на новий рівень, залучаємо до кожного з них CDTO (Chief Digital Transformation Officer).
Цифрові заступники керівників ОДА займатимуться реінжинірингом та впровадженням сервісів, координацією проєктів з ЦОВВ, розвитком IT-індустрії, забезпеченням високошвидкісного інтернету, цифровізацією медицини, освіти. Список можна продовжити в залежності від пріоритетів.

Готуємо:
— Відкритий портал з цифровим рейтингом регіонів та аналітикою
— Програму інформатизації для кожної області
— Маркетплейс цифрових рішень. Кращі діджитал-продукти, сервіси та покрокові інструкції з їх упровадження.

Плануємо провести форум регіональної цифровізації, щоб кожна область отримала програму та підтримку. В розробці — ініціатива зі співфінансування місцевих проєктів у вигляді 50-відсоткової субвенції.
Тож є стратегія, в процесі — її впровадження. Харків, наприклад, більш ніж пів року успішно трансформується в цифрове місто.

Розвиток регіонів — це розвиток економіки. Інвестиції, нові робочі місця, додаткові можливості для молоді та комфорт кожному громадянину. Від комплексного онлайн-сервісу до економії коштів та часу.

Приєднуйтеся, якщо у вас є амбіції, досвід та чітке бачення. Побудуємо ефективну екосистему, що працює для людей. Вакансія для заступника голови ОДА з цифрової трансформації (CDTO): https://bit.ly/33NmsoJ"
2583,"👨‍🎓👩‍🎓

Дія.Бізнес запускає всеукраїнський проєкт «Спортивна індустрія: від спортсмена-аматора до власника бізнесу». 

Проєкт передбачає:
— безкоштовні вебінари та воркшопи від лідерів ринку;
— безкоштовні антистрес-тренування на відкритому повітрі для підприємців та тих, хто мріє ними стати;
— автограф-сесії з відомими спортсменами та розіграші приємних подарунків;
— освітні проєкти від партнерів Дія.Бізнес. 

Цей проєкт буде корисним для вас, якщо ви: 
— аматор-спортсмен і плануєте відкрити власний бізнес у спортивній індустрії;
— спеціаліст у сфері комунікації чи продажів на стороні бренду та хочете краще зрозуміти, як співпрацювати зі спортсменами;
— підприємець або менеджер у спортивному проєкті;
— представник спортивної федерації;
— професійний спортсмен чи спортсмен-аматор;
— керівник спортивної установи.

Перший вебінар в рамках проєкту відбудеться 17 серпня 2020 року на Facebook-сторінці Дія.Бізнес. Тема: «Як побудувати успішний спортивний бізнес в Україні?». "
2584,"​​Ходят слухи, что Сергей Притула — это проект Дии!"
2585,
2586,
2587,
2588,"Подписал вместе с Черневым Е. В. и Ковальчуком А. В. законопроект, разработанный совместно Минфином, Минцифра и депутатами комитета о специальном налоговом и правовом режиме для Дия Сити."
2589,"Люблю читать. К сожалению, чаще удобнее читать онлайн-книги. Но не могу найти приложение, где есть полноценная библиотека новых книг и бестселлеров на украинском. Знакома проблема? 

Подскажите, есть ли такие? 
Если нет, то почему."
2590,"«Утечка данных» — фейк, яркий повод для атак в ближайшие годы. Новый вызов для цифровых брендов."
2591,"Некоторые ресурсы написали сенсационную новость об утечке данных клиентов Монобанка. 
А Telegram-канал «Как-то вот так», который это первый «вбросил», даже привел фрагмент этой базы с 15’000 записей. 

Мы посмотрели базу, о которой идет речь в этой «новости». 
К сожалению, 96% людей в ней не являются клиентами Монобанк. И у нас теперь есть острое желание их всех привлечь на обслуживание. 
А пока этого не произошло, предлагаю правило:
«База моно, состоящая из 96% не клиентов моно, не есть база клиентов моно»."
2592,"Як захистити себе від домашнього насильства, допомогти постраждалим та куди звертатися?

Онлайн-інструменти протидії домашньому насильству — новий освітній серіал, створений разом з МВС.
 
Ви дізнаєтеся:
— Яким буває домашнє насильство 
— Як його уникнути, захистити себе та допомогти іншим
— Про подолання наслідків
— Шляхи звернення в поліцію

Участь в освітньому серіалі взяли: Даніель Салем, Марія Єфросініна, Tayanna, Катерина Павличенко, Олександр Фацевич, Альона Гудкова, Леся Матвєєва, Олексій Білошицький, Олена Дашутіна.

Переглянути серіал на Дія.Цифрова освіта 👉🏻 https://bit.ly/30C15EK

За підтримки Канадсько-українського проєкту розвитку поліції (CUPDP) коштом Уряду Канади."
2593,"​​У нас у команді існує культура створення дашбордів. 

Динамічний дашборд для відстежування звернень користувачів у різних розрізах, дашборди з послуг, моніторинг послуг у ЦНАПах та ін.

Щодня ми збираємо дедалі більше якісних даних. 

Якісні дані — основа для прийняття ефективних рішень в уряді. 

Так, як маніпулюють даними в політиці, — це окремий вид мистецтва. 

Додаю нещодавно створений дашборд щодо моніторингу послуги з відкриття/закриття/змінення даних ФОП. Цікаві дані. Чесно, не дуже позитивні (принаймні, онлайн). Можливо, пов’язано зі спрощенням процедури закриття ФОП саме за допомогою онлайн у декілька кліків. 

Для того, щоб реально робити висновки, потрібно отримувати якісні дані і з офлайн-послуг щодо ФОП. 

Коли ми зможемо отримувати реальні, якісні дані з усіх галузей, це буде інший рівень державного менеджменту.

Дані з початку роботи онлайн-послуги: квітень-серпень."
2594,"​​Завжди приємно зустрітися з Dmitry Sennychenko. Супер-менеджер з чітким баченням реформи приватизації. Супер-команда, супер-підхід. До речі, вже 2 або 3 рази йому намагалися дати хабаря. Але всі рази він звертався до НАБУ, яке викривало злочинців та брало на горячому."
2595,"​​Вчора разом з Президентом провели зустріч із потенційними інвесторами, котрі планують інвестувати в проєкти на території рідного Запорізького краю. 

Один з проєктів — дата-центр, який стане маяком для інвестицій у цифрову економіку України для інших міжнародних партнерів.

Готовий бути інвестиційною нянею, татом, ким завгодно, щоб в Україну заходили мільярдні інвестиції, та ще й у сферу цифрової трансформації 😉"
2596,"Сьогодні Кабінет Міністрів України затвердив Державну стратегію регіонального розвитку до 2027, розроблену Мінрегіоном за участі Мінцифри та Офісу Президента.

Тепер у регіонів є Стратегія на 7 років, яка визначає однією з цілей цифрову трансформацію. Визначено три цифрових KPI з 24, і 68 цифрових завдань з 387.

Наступний крок — це план її реалізації і конкретні проекти, які допоможуть кожному регіону за допомогою IT стати ефективніше, а сервіси для людей зробити зручніше!"
2597,"​​Дієві, забирали свої посилки з Нової пошти з Дією? Ми — так. 

Чи прийняли у вас цифровий паспорт? Діліться у коментарях. Якщо ні — де саме? Опитування тільки для тестувальників 🙌🏻"
2598,"​​Забрал книгу. 

Долго ждал пока она появится в продаже. 

Кстати, Новая почта, активно тестирует с нашей командой и бета-тестировщиками со всей страны идентификацию через Дию. Пока с посылками до 5000 грн. Скоро — по всем. 
После теста функция будет доступна и вам. И не только эта (об этом расскажу отдельно и приглашу на презентацию). 

Спасибо за поддержку. 
Скорость внедрения инноваций нашими партнёрами, прямопропорциональна вашему желанию использовать Дию."
2599,"​​В последнее время редко общаюсь с журналистами, но не смог не поделиться новостями с корреспондентом австрийской общественной телерадиокомпании ORF Кристианом Вершютцом. 

Первое наше интервью было ещё во время президентской избирательной кампании. И вот, спустя полтора года я уже рассказал о наших продуктах, победах и поражениях в статусе министра. 

Приятнейший человек, который знает минимум 8 языков, имеет широчайшее мировоззрение и очень верит в то, что у нас все получится. 

Кстати, его друг, проходит самоизоляцию благодаря приложению «Дій вдома», которое мы разработали за 4 дня, и которое, по его словам, намного лучше, чем в той же Англии. 

Очень здорово, когда журналисты ищут позитив, хотят им делиться, создавая другой, позитивный бренд Украины в Мире."
